ID_PAYMENT,TIME_STAMP,CONTRAGENT,AMMOUNT,REF_NUMBER1,REF_NUMBER2,YEAR_RP,MONTH_RP,DAY_RP,ID_WEEKDAY,ID_CONTRAGENT,ID_ACCOUNT,ID_SERVICE
153,2008-04-13T17:50:00..000000000,БТК,29.18,bl. 515(028254825),bl. 515(028254825),2008,4,13,6,25,7,3
154,2008-04-13T17:50:00..000000000,ЧЕЗ Електро България АД,8.14,Татко(3000151577),Татко(3000151577),2008,4,13,6,44,7,1
155,2008-04-17T15:26:00..000000000,Софийска вода АД,6.26,Кака(3035289),Кака(3035289),2008,4,17,3,39,11,2
156,2008-04-18T12:47:00..000000000,Топлофикация София ЕАД,71.64,515(164402),515(164402),2008,4,18,4,42,7,5
157,2008-04-18T12:47:00..000000000,Топлофикация София ЕАД,23.65,423(151415),423(151415),2008,4,18,4,42,2,5
158,2008-05-08T20:46:00..000000000,Софийска вода (515),11.62,515(5029035),515(5029035),2008,5,8,3,14,7,2
159,2008-05-08T20:46:00..000000000,ГлоБул ЕАД,20.44,Mijn GSM(000082520),Mijn GSM(000082520),2008,5,8,3,27,1,3
160,2008-05-08T20:46:00..000000000,М-Тел,15.9,Моят телефон(08870589596601),Моят телефон(08870589596601),2008,5,8,3,32,1,3
161,2008-05-08T20:46:00..000000000,Мобилтел  ЕАД,65.62,Mama(08865799136533),Mama(08865799136533),2008,5,8,3,36,9,3
162,2008-05-08T21:14:00..000000000,Мобилтел  ЕАД,86.69,Kaka(08886625376357),Kaka(08886625376357),2008,5,8,3,36,11,3
163,2008-05-13T21:02:00..000000000,ЧЕЗ Електро България АД,14.16,515(3000153493),515(3000153493),2008,5,13,1,44,7,1
164,2008-05-13T21:02:00..000000000,БТК,20.33,БТК - Кака(028725348),БТК - Кака(028725348),2008,5,13,1,25,11,3
165,2008-05-13T21:02:00..000000000,БТК,8.83,bl. 515(028254825),bl. 515(028254825),2008,5,13,1,25,7,3
166,2008-05-19T11:35:00..000000000,Топлофикация София ЕАД,33.33,515(164402),515(164402),2008,5,19,0,42,7,5
167,2008-05-19T11:35:00..000000000,Топлофикация София ЕАД,11.41,423(151415),423(151415),2008,5,19,0,42,2,5
168,2008-05-22T17:24:00..000000000,ЧЕЗ Електро България АД,8.65,515(3000153493),515(3000153493),2008,5,22,3,44,7,1
169,2008-05-22T17:24:00..000000000,Софийска вода АД,5.28,Кака(3035289),Кака(3035289),2008,5,22,3,39,11,2
170,2008-05-22T17:24:00..000000000,ЧЕЗ Електро България АД,26.52,Татко(3000151577),Татко(3000151577),2008,5,22,3,44,7,1
171,2008-06-09T17:18:00..000000000,ЧЕЗ Електро България АД,14.57,Кака(3000248359),Кака(3000248359),2008,6,9,0,44,11,1
172,2008-06-09T17:18:00..000000000,Софийска вода (515),11.27,515(5029035),515(5029035),2008,6,9,0,14,7,2
173,2008-06-09T17:18:00..000000000,ГлоБул ЕАД,16.58,Mijn GSM(000082520),Mijn GSM(000082520),2008,6,9,0,27,1,3
174,2008-06-09T17:18:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2008,6,9,0,36,9,3
175,2008-06-09T17:18:00..000000000,М-Тел,15.9,Моят телефон(08870589596601),Моят телефон(08870589596601),2008,6,9,0,32,1,3
176,2008-06-16T12:09:00..000000000,БТК,19.21,БТК - Кака(028725348),БТК - Кака(028725348),2008,6,16,0,25,11,3
177,2008-06-16T12:09:00..000000000,БТК,6.4,bl. 515(028254825),bl. 515(028254825),2008,6,16,0,25,7,3
178,2008-06-19T16:53:00..000000000,Софийска вода АД,5.68,Кака(3035289),Кака(3035289),2008,6,19,3,39,11,2
179,2008-06-19T16:53:00..000000000,Топлофикация София ЕАД,22.05,515(164402),515(164402),2008,6,19,3,42,7,5
180,2008-06-19T16:53:00..000000000,ЧЕЗ Електро България АД,25.98,515(3000153493),515(3000153493),2008,6,19,3,44,7,1
181,2008-06-19T16:53:00..000000000,ЧЕЗ Електро България АД,3.23,Татко(3000151577),Татко(3000151577),2008,6,19,3,44,7,1
182,2008-06-26T11:06:00..000000000,Софийска вода (515),12.29,515(5029035),515(5029035),2008,6,26,3,14,7,2
183,2008-07-07T14:07:00..000000000,ГлоБул ЕАД,20.83,Mijn GSM(000082520),Mijn GSM(000082520),2008,7,7,0,27,1,3
184,2004-03-09T22:36:00..000000000,ГлоБул ЕАД,19.8,00440208001,00440208001,2004,3,9,1,27,1,3
185,2004-03-09T22:36:00..000000000,ГлоБул ЕАД,14.95,00440190001,00440190001,2004,3,9,1,27,3,3
186,2004-03-14T17:21:00..000000000,Електроразпределение - Столично ЕАД,23.69,0204007130,0204007130,2004,3,14,6,31,7,1
187,2004-04-15T11:17:00..000000000,Електроразпределение - Столично ЕАД,19.66,0204007130,0204007130,2004,4,15,3,31,7,1
188,2004-04-15T11:17:00..000000000,ГлоБул ЕАД,19.24,00440208001,00440208001,2004,4,15,3,27,1,3
189,2004-04-15T11:17:00..000000000,ГлоБул ЕАД,14.47,00440190001,00440190001,2004,4,15,3,27,3,3
190,2004-05-07T13:59:00..000000000,ГлоБул ЕАД,19.09,00440208001,00440208001,2004,5,7,4,27,1,3
191,2004-05-07T13:59:00..000000000,ГлоБул ЕАД,14.4,00440190001,00440190001,2004,5,7,4,27,3,3
192,2004-05-17T11:39:00..000000000,Електроразпределение - Столично ЕАД,24.2,0204007130,0204007130,2004,5,17,0,31,7,1
193,2004-06-05T22:42:00..000000000,Софийска вода (515),41.46,5029035,5029035,2004,6,5,5,14,7,2
194,2004-06-10T01:27:00..000000000,ГлоБул ЕАД,21.44,00440208001,00440208001,2004,6,10,3,27,1,3
195,2004-06-10T01:27:00..000000000,ГлоБул ЕАД,14.46,00440190001,00440190001,2004,6,10,3,27,3,3
196,2004-06-13T17:13:00..000000000,БТК,20.05,02254825,02254825,2004,6,13,6,25,9,3
197,2004-06-15T09:40:00..000000000,Електроразпределение - Столично ЕАД,30.45,0204007130,0204007130,2004,6,15,1,31,7,1
198,2004-07-13T00:21:00..000000000,ГлоБул ЕАД,17.38,00440208001,00440208001,2004,7,13,1,27,1,3
199,2004-07-13T00:21:00..000000000,ГлоБул ЕАД,14.78,00440190001,00440190001,2004,7,13,1,27,3,3
200,2004-08-05T11:20:00..000000000,ГлоБул ЕАД,18.04,00440208001,00440208001,2004,8,5,3,27,1,3
201,2004-08-05T11:20:00..000000000,ГлоБул ЕАД,14.54,00440190001,00440190001,2004,8,5,3,27,3,3
202,2004-09-07T09:51:00..000000000,ГлоБул ЕАД,18.22,00440208001,00440208001,2004,9,7,1,27,1,3
203,2004-09-07T09:51:00..000000000,ГлоБул ЕАД,14.8,00440190001,00440190001,2004,9,7,1,27,3,3
204,2004-09-15T01:03:00..000000000,Софийска вода (515),44.73,5029035,5029035,2004,9,15,2,14,7,2
205,2004-10-10T12:01:00..000000000,ГлоБул ЕАД,18.84,00440208001,00440208001,2004,10,10,6,27,1,3
206,2004-10-10T12:01:00..000000000,ГлоБул ЕАД,14.4,00440190001,00440190001,2004,10,10,6,27,3,3
207,2004-11-10T09:34:00..000000000,ГлоБул ЕАД,16.85,00440208001,00440208001,2004,11,10,2,27,1,3
208,2004-11-10T09:34:00..000000000,ГлоБул ЕАД,14.4,00440190001,00440190001,2004,11,10,2,27,3,3
209,2004-11-28T16:31:00..000000000,Топлофикация София ЕАД,31.93,164402,164402,2004,11,28,6,42,7,5
210,2004-12-10T07:48:00..000000000,ГлоБул ЕАД,18.92,00440208001,00440208001,2004,12,10,4,27,1,3
211,2004-12-10T07:48:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2004,12,10,4,27,3,3
212,2005-01-01T12:39:00..000000000,Софийска вода (515),39.73,5029035,5029035,2005,1,1,5,14,7,2
213,2005-01-18T00:53:00..000000000,ГлоБул ЕАД,22.54,00440208001,00440208001,2005,1,18,1,27,1,3
214,2005-01-18T00:53:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,1,18,1,27,3,3
215,2005-01-20T08:37:00..000000000,Електроразпределение - Столично ЕАД,32.22,0204007130,0204007130,2005,1,20,3,31,7,1
216,2005-02-09T10:33:00..000000000,ГлоБул ЕАД,21.56,00440208001,00440208001,2005,2,9,2,27,1,3
217,2005-02-09T10:33:00..000000000,ГлоБул ЕАД,13.97,00440190001,00440190001,2005,2,9,2,27,3,3
218,2005-02-11T19:34:00..000000000,БТК,3.01,02254825,02254825,2005,2,11,4,25,9,3
219,2005-02-16T11:46:00..000000000,Електроразпределение - Столично ЕАД,24.51,0204007130,0204007130,2005,2,16,2,31,7,1
220,2005-03-09T20:02:00..000000000,ГлоБул ЕАД,22.58,00440208001,00440208001,2005,3,9,2,27,1,3
221,2005-03-09T20:02:00..000000000,Софийска вода (515),29.22,5029035,5029035,2005,3,9,2,14,7,2
222,2005-03-09T20:02:00..000000000,Електроразпределение - Столично ЕАД,26.18,0204007130,0204007130,2005,3,9,2,31,7,1
223,2005-03-09T20:02:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,3,9,2,27,3,3
224,2005-03-11T11:51:00..000000000,БТК,2.9,02254825,02254825,2005,3,11,4,25,9,3
225,2005-03-17T19:45:00..000000000,Топлофикация София ЕАД,112.1,164402,164402,2005,3,17,3,42,7,5
226,2005-04-06T23:24:00..000000000,ГлоБул ЕАД,17.96,00440208001,00440208001,2005,4,6,2,27,1,3
227,2005-04-06T23:24:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,4,6,2,27,3,3
228,2005-04-09T12:13:00..000000000,Електроразпределение - Столично ЕАД,32.48,0204007130,0204007130,2005,4,9,5,31,7,1
229,2005-04-13T23:31:00..000000000,БТК,2.58,02254825,02254825,2005,4,13,2,25,9,3
230,2005-04-25T10:16:00..000000000,Топлофикация София ЕАД,98.89,164402,164402,2005,4,25,0,42,7,5
231,2005-05-10T22:50:00..000000000,ГлоБул ЕАД,25.81,00440208001,00440208001,2005,5,10,1,27,1,3
232,2005-05-10T22:50:00..000000000,ГлоБул ЕАД,13.81,00440190001,00440190001,2005,5,10,1,27,3,3
233,2005-05-14T08:31:00..000000000,Електроразпределение - Столично ЕАД,30.88,0204007130,0204007130,2005,5,14,5,31,7,1
234,2005-05-19T12:08:00..000000000,БТК,1.94,02254825,02254825,2005,5,19,3,25,9,3
235,2005-06-09T22:05:00..000000000,ГлоБул ЕАД,29.3,00440208001,00440208001,2005,6,9,3,27,1,3
236,2005-06-09T22:05:00..000000000,ГлоБул ЕАД,13.96,00440190001,00440190001,2005,6,9,3,27,3,3
237,2005-06-17T01:02:00..000000000,БТК,4.99,02254825,02254825,2005,6,17,4,25,9,3
238,2005-06-27T09:05:00..000000000,Топлофикация София ЕАД,34.83,164402,164402,2005,6,27,0,42,7,5
239,2005-07-12T16:11:00..000000000,ГлоБул ЕАД,20.51,00440208001,00440208001,2005,7,12,1,27,1,3
240,2005-07-12T16:11:00..000000000,ГлоБул ЕАД,13.97,00440190001,00440190001,2005,7,12,1,27,3,3
241,2005-08-08T22:32:00..000000000,ГлоБул ЕАД,29.33,00440208001,00440208001,2005,8,8,0,27,1,3
242,2005-08-08T22:32:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,8,8,0,27,3,3
243,2005-08-29T11:32:00..000000000,Софийска вода (515),27.2,5029035,5029035,2005,8,29,0,14,7,2
244,2005-08-29T11:32:00..000000000,БТК,.83,02254825,02254825,2005,8,29,0,25,9,3
245,2005-08-29T11:32:00..000000000,Топлофикация София ЕАД,21.44,164402,164402,2005,8,29,0,42,7,5
246,2005-09-08T17:25:00..000000000,ГлоБул ЕАД,25.44,00440208001,00440208001,2005,9,8,3,27,1,3
247,2005-09-08T17:25:00..000000000,ГлоБул ЕАД,18.8,00440190001,00440190001,2005,9,8,3,27,3,3
248,2005-09-28T12:23:00..000000000,Топлофикация София ЕАД,28.28,164402,164402,2005,9,28,2,42,7,5
249,2005-10-14T16:00:00..000000000,БТК,6.76,02254825,02254825,2005,10,14,4,25,9,3
250,2005-10-14T16:00:00..000000000,ГлоБул ЕАД,19.76,00440208001,00440208001,2005,10,14,4,27,1,3
251,2005-10-14T16:00:00..000000000,Софийска вода (515),12.84,5029035,5029035,2005,10,14,4,14,7,2
252,2005-10-14T16:00:00..000000000,Електроразпределение - Столично ЕАД,36.05,0204007130,0204007130,2005,10,14,4,31,7,1
253,2005-10-14T16:00:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,10,14,4,27,3,3
254,2005-10-14T16:00:00..000000000,Топлофикация София ЕАД,30.7,164402,164402,2005,10,14,4,42,7,5
255,2005-11-14T23:24:00..000000000,ГлоБул ЕАД,25.72,00440208001,00440208001,2005,11,14,0,27,1,3
256,2005-11-14T23:24:00..000000000,Топлофикация София ЕАД,40.28,164402,164402,2005,11,14,0,42,7,5
257,2005-11-14T23:24:00..000000000,Софийска вода (515),11.22,5029035,5029035,2005,11,14,0,14,7,2
258,2005-11-14T23:24:00..000000000,Електроразпределение - Столично ЕАД,23.76,0204007130,0204007130,2005,11,14,0,31,7,1
259,2005-11-14T23:24:00..000000000,ГлоБул ЕАД,13.68,00440190001,00440190001,2005,11,14,0,27,3,3
260,2005-12-13T07:34:00..000000000,ГлоБул ЕАД,18.12,00440208001,00440208001,2005,12,13,1,27,1,3
261,2005-12-13T07:34:00..000000000,Софийска вода (515),8.3,5029035,5029035,2005,12,13,1,14,7,2
262,2005-12-13T07:34:00..000000000,Електроразпределение - Столично ЕАД,27.74,0204007130,0204007130,2005,12,13,1,31,7,1
263,2005-12-13T07:34:00..000000000,ГлоБул ЕАД,13.96,00440190001,00440190001,2005,12,13,1,27,3,3
264,2006-01-15T19:18:00..000000000,ГлоБул ЕАД,33,00440208001,00440208001,2006,1,15,6,27,1,3
265,2006-01-15T19:18:00..000000000,Софийска вода (515),11.52,5029035   11.52,5029035   11.52,2006,1,15,6,14,7,2
266,2006-01-15T19:18:00..000000000,ГлоБул ЕАД,21.49,00440190001,00440190001,2006,1,15,6,27,3,3
267,2006-01-16T21:55:00..000000000,БТК,3.76,02254825,02254825,2006,1,16,0,25,9,3
268,2006-02-09T21:12:00..000000000,ГлоБул ЕАД,28.91,00440208001,00440208001,2006,2,9,3,27,1,3
269,2006-02-09T21:12:00..000000000,ГлоБул ЕАД,14.36,00440190001,00440190001,2006,2,9,3,27,3,3
270,2006-02-11T08:24:00..000000000,Електроразпределение - Столично ЕАД,35.56,0204007130,0204007130,2006,2,11,5,31,7,1
271,2006-02-11T08:24:00..000000000,Софийска вода (515),10.18,5029035   10.18,5029035   10.18,2006,2,11,5,14,7,2
272,2006-03-11T21:55:00..000000000,ГлоБул ЕАД,21.2,00440208001,00440208001,2006,3,11,5,27,1,3
273,2006-03-11T21:55:00..000000000,Мобилтел  ЕАД,15.12,"0123025004,0620410145","0123025004,0620410145",2006,3,11,5,36,1,3
274,2006-03-11T21:55:00..000000000,ГлоБул ЕАД,13.96,00440190001,00440190001,2006,3,11,5,27,3,3
275,2006-03-24T09:26:00..000000000,БТК,2.6,02254825,02254825,2006,3,24,4,25,9,3
276,2006-04-10T21:37:00..000000000,Мобилтел  ЕАД,8.69,0123783366,0123783366,2006,4,10,0,36,9,3
277,2006-04-10T21:37:00..000000000,ГлоБул ЕАД,22.16,00440208001,00440208001,2006,4,10,0,27,1,3
278,2006-04-10T21:37:00..000000000,ГлоБул ЕАД,14.23,00440190001,00440190001,2006,4,10,0,27,3,3
279,2006-05-13T10:44:00..000000000,Мобилтел  ЕАД,65.58,0124658717,0124658717,2006,5,13,5,36,11,3
280,2006-05-13T10:44:00..000000000,Мобилтел  ЕАД,8.4,0124549159,0124549159,2006,5,13,5,36,9,3
281,2006-05-13T10:44:00..000000000,ГлоБул ЕАД,15.26,00440208001,00440208001,2006,5,13,5,27,1,3
282,2006-06-13T11:18:00..000000000,Мобилтел  ЕАД,8.4,0125320482,0125320482,2006,6,13,1,36,9,3
283,2006-06-13T11:18:00..000000000,ГлоБул ЕАД,14.7,00440208001,00440208001,2006,6,13,1,27,1,3
284,2006-07-08T18:29:00..000000000,Мобилтел  ЕАД,81.12,0126213689,0126213689,2006,7,8,5,36,11,3
285,2006-07-08T18:29:00..000000000,Мобилтел  ЕАД,8.4,0126096032,0126096032,2006,7,8,5,36,9,3
286,2006-07-08T18:29:00..000000000,ГлоБул ЕАД,15.66,00440208001,00440208001,2006,7,8,5,27,1,3
287,2006-08-06T19:04:00..000000000,ГлоБул ЕАД,14.98,00440208001,00440208001,2006,8,6,6,27,1,3
288,2006-08-06T19:04:00..000000000,Мобилтел  ЕАД,8.7,0126877441,0126877441,2006,8,6,6,36,9,3
289,2006-08-08T10:47:00..000000000,Мобилтел  ЕАД,95.04,0126999126,0126999126,2006,8,8,1,36,11,3
290,2006-09-12T16:14:00..000000000,ГлоБул ЕАД,13.81,00440190001,00440190001,2006,9,12,1,27,3,3
291,2006-09-12T16:14:00..000000000,Мобилтел  ЕАД,8.4,08865799136533,08865799136533,2006,9,12,1,36,9,3
292,2006-09-12T16:15:00..000000000,ГлоБул ЕАД,14.11,00440208001,00440208001,2006,9,12,1,27,1,3
293,2006-10-05T10:59:00..000000000,ГлоБул ЕАД,15.32,Mijn GSM(00440208001),Mijn GSM(00440208001),2006,10,5,3,27,1,3
294,2006-10-05T10:59:00..000000000,Мобилтел  ЕАД,13.66,Mama(08865799136533),Mama(08865799136533),2006,10,5,3,36,9,3
295,2006-10-15T20:58:00..000000000,ГлоБул ЕАД,13.81,Tatko(00440190001),Tatko(00440190001),2006,10,15,6,27,3,3
296,2006-11-07T17:29:00..000000000,ГлоБул ЕАД,18.3,Mijn GSM(00440208001),Mijn GSM(00440208001),2006,11,7,1,27,1,3
297,2006-11-07T17:29:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2006,11,7,1,36,9,3
298,2006-11-16T09:02:00..000000000,ГлоБул ЕАД,23.22,Tatko(00440190001),Tatko(00440190001),2006,11,16,3,27,3,3
299,2006-11-22T10:59:00..000000000,БТК,3.25,bl. 515(028254825),bl. 515(028254825),2006,11,22,2,25,7,3
300,2006-11-22T10:59:00..000000000,Софийска вода (515),10.18,515(5029035),515(5029035),2006,11,22,2,14,7,2
301,2006-12-12T23:01:00..000000000,ГлоБул ЕАД,28.33,Mijn GSM(000082520),Mijn GSM(000082520),2006,12,12,1,27,1,3
302,2006-12-12T23:01:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2006,12,12,1,36,9,3
303,2006-12-17T10:48:00..000000000,БТК,5.29,bl. 515(028254825),bl. 515(028254825),2006,12,17,6,25,7,3
304,2006-12-17T10:48:00..000000000,ГлоБул ЕАД,19.69,Tatko(000082500),Tatko(000082500),2006,12,17,6,27,3,3
305,2006-12-17T10:48:00..000000000,Софийска вода (515),8.12,515(5029035),515(5029035),2006,12,17,6,14,7,2
306,2006-12-17T10:48:00..000000000,Електроразпределение - Столично ЕАД,23.06,515(0204007130),515(0204007130),2006,12,17,6,31,7,1
307,2006-12-28T14:12:00..000000000,БТК,15.88,БТК - Кака(028725348),БТК - Кака(028725348),2006,12,28,3,25,11,3
308,2007-01-09T16:41:00..000000000,Електроразпределение - Столично ЕАД,21.41,515(0204007130),515(0204007130),2007,1,9,1,31,7,1
309,2007-01-09T16:41:00..000000000,Софийска вода (515),9.34,515(5029035),515(5029035),2007,1,9,1,14,7,2
310,2007-01-09T16:41:00..000000000,ГлоБул ЕАД,34.24,Mijn GSM(000082520),Mijn GSM(000082520),2007,1,9,1,27,1,3
311,2007-01-09T16:41:00..000000000,Мобилтел  ЕАД,16.16,Mama(08865799136533),Mama(08865799136533),2007,1,9,1,36,9,3
312,2007-01-10T10:19:00..000000000,Мобилтел  ЕАД,64.62,Kaka(08886625376357),Kaka(08886625376357),2007,1,10,2,36,11,3
313,2007-01-13T12:55:00..000000000,ГлоБул ЕАД,31.12,Tatko(000082500),Tatko(000082500),2007,1,13,5,27,3,3
314,2007-02-08T00:07:00..000000000,ГлоБул ЕАД,27.56,Mijn GSM(000082520),Mijn GSM(000082520),2007,2,8,3,27,1,3
315,2007-02-08T00:07:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2007,2,8,3,36,9,3
316,2007-02-15T19:50:00..000000000,ЧЕЗ Електро България АД,28.78,515(0204007130),515(0204007130),2007,2,15,3,44,7,1
317,2007-02-15T19:50:00..000000000,Софийска вода (515),11.03,515(5029035),515(5029035),2007,2,15,3,14,7,2
318,2007-02-15T19:50:00..000000000,БТК,5.8,bl. 515(028254825),bl. 515(028254825),2007,2,15,3,25,7,3
319,2007-03-10T13:49:00..000000000,Софийска вода АД,52.58,Кака(3035289),Кака(3035289),2007,3,10,5,39,11,2
320,2007-03-10T13:49:00..000000000,ГлоБул ЕАД,15.05,Mijn GSM(000082520),Mijn GSM(000082520),2007,3,10,5,27,1,3
321,2007-03-10T13:49:00..000000000,ЧЕЗ Електро България АД,15.6,Кака(0304601015),Кака(0304601015),2007,3,10,5,44,11,1
322,2007-03-10T13:49:00..000000000,Мобилтел  ЕАД,8.4,Mama(08865799136533),Mama(08865799136533),2007,3,10,5,36,9,3
323,2007-03-16T17:28:00..000000000,ЧЕЗ Електро България АД,24.66,515(0204007130),515(0204007130),2007,3,16,4,44,7,1
324,2007-03-16T17:28:00..000000000,БТК,4,bl. 515(028254825),bl. 515(028254825),2007,3,16,4,25,7,3
325,2007-03-16T17:28:00..000000000,Софийска вода (515),5.09,515(5029035),515(5029035),2007,3,16,4,14,7,2
326,2007-03-24T10:45:00..000000000,Мобилтел  ЕАД,39.29,Kaka(08886625376357),Kaka(08886625376357),2007,3,24,5,36,11,3
327,2007-04-11T10:12:00..000000000,ГлоБул ЕАД,29.54,Mijn GSM(000082520),Mijn GSM(000082520),2007,4,11,2,27,1,3
328,2010-08-16T11:56:00..000000000,Софийска вода АД,7.68,Кака(3035289),Кака(3035289),2010,8,16,0,39,11,2
329,2010-08-16T11:56:00..000000000,БТК,18.56,БТК - Кака(028725348),БТК - Кака(028725348),2010,8,16,0,25,11,3
330,2010-08-16T11:56:00..000000000,БТК,6.41,423(028254825),423(028254825),2010,8,16,0,25,2,3
331,2010-08-18T10:45:00..000000000,ЧЕЗ Електро България АД,20.08,515(300015349354),515(300015349354),2010,8,18,2,44,7,1
332,2010-08-18T10:45:00..000000000,Топлофикация София ЕАД,26.85,423(151415),423(151415),2010,8,18,2,42,2,5
333,2010-08-18T10:45:00..000000000,ЧЕЗ Електро България АД,41.53,Татко(300015157730),Татко(300015157730),2010,8,18,2,44,7,1
334,2010-08-18T10:45:00..000000000,Топлофикация София ЕАД,10.86,515(164402),515(164402),2010,8,18,2,42,7,5
335,2010-08-27T12:48:00..000000000,ГлоБул ЕАД,4.75,Mama(002039600),Mama(002039600),2010,8,27,4,27,9,3
336,2010-09-01T10:37:00..000000000,М-Тел,8.4,Mama(08865799136533),Mama(08865799136533),2010,9,1,2,32,9,3
337,2010-09-01T10:37:00..000000000,М-Тел,20,Моят телефон(08870589596601),Моят телефон(08870589596601),2010,9,1,2,32,1,3
338,2010-09-03T11:31:00..000000000,Софийска вода (515),7.68,515(5029035),515(5029035),2010,9,3,4,14,7,2
339,2010-09-07T12:34:00..000000000,ЧЕЗ Електро България АД,13.46,Кака(300024835954),Кака(300024835954),2010,9,7,1,44,11,1
340,2010-09-07T12:34:00..000000000,ГлоБул ЕАД,61.88,Mijn GSM(000082520),Mijn GSM(000082520),2010,9,7,1,27,1,3
341,2010-09-07T12:34:00..000000000,ГлоБул ЕАД,15.42,Tatko(000082500),Tatko(000082500),2010,9,7,1,27,3,3
342,2010-09-15T11:15:00..000000000,Софийска вода (423),21.5,423(4046798),423(4046798),2010,9,15,2,15,2,2
343,2010-09-15T11:16:00..000000000,БТК,17.8,БТК - Кака(028725348),БТК - Кака(028725348),2010,9,15,2,25,11,3
344,2010-09-15T11:16:00..000000000,БТК,3.36,423(028254825),423(028254825),2010,9,15,2,25,2,3
345,2010-09-20T08:08:00..000000000,Софийска вода АД,5,Кака(3035289),Кака(3035289),2010,9,20,0,39,11,2
346,2010-09-20T08:08:00..000000000,ЧЕЗ Електро България АД,20.76,515(300015349354),515(300015349354),2010,9,20,0,44,7,1
347,2010-09-20T08:08:00..000000000,Топлофикация София ЕАД,15.51,515(164402),515(164402),2010,9,20,0,42,7,5
348,2010-09-20T08:08:00..000000000,Топлофикация София ЕАД,20.97,423(151415),423(151415),2010,9,20,0,42,2,5
349,2010-09-20T08:08:00..000000000,ЧЕЗ Електро България АД,34.75,Татко(300015157730),Татко(300015157730),2010,9,20,0,44,7,1
