ID_CONTRAGENT,CONTRAGENT_ID,LEGAL_NAME,CONTRAGENT_COL
111,279,TELENOR 100000034 002 SOFIA BGR,Telenor
258,280,MM BURGER EOOD SOFIA BGR,MM
10,282,AMAZON SERVICES-KINDLE 866-216-1072 USA,AMAZON
71,283,HIPPO SF LULIN SOFIYA BGR,HIPPOLAND
203,284,JOY FASHION EOOD SOFIA BGR,JOY
30,285,BILLA 122 LULIN SOFIYA BGR,BILLA
149,287,LILLY DR. LULIN 1 SOFIYA BGR,LILLY
50,288,LIDL  Bulgaria EOOD Sofia BGR,LIDL
161,289,FIB GOLD SOFIA BGR,FIB
20,290,Мартин Георгиев Георгиев,Погасяване
5,293,PAYPAL *GRABOMEDIAO 35314369001 LUX,GRABO.BG
42,295,HAPPY ASKO DENICA SOFIYA BGR,HAPPY
107,296,STRONG MEBEL 1 BGR,STRONG
124,297,DOUGLAS 3 SOFIYA BGR,DOUGLAS
181,298,DANAYA TEXTIL TR SOFIYA BGR,DANAYA
56,301,CELIO CARREFOUR SOFIYA BGR,CELIO
30,302,BILLA SOFIYA BGR,BILLA
68,1,UTILITY PAYMENTS MY FIBANK SOFIA BGR,UTILITY
149,303,LILLY DROGERIE HERMES SOFIA BGR,LILLY
267,304,MNM 2013 EOOD SOFIA BGR,MNM
317,305,MAGAZIN LIULIN SOFIYA BGR,LIULIN
276,306,SUBCITY OOD VARNA BGR,SUBCITY
241,307,PAYPAL *GODADDYCOMI 4029357733 USA,GODADDYCOMI
30,308,BILLA LIULIN SOFIYA BGR,BILLA
44,310,JUMBO 13 SOFIA BGR,JUMBO
74,312,HIT HIPERMARKET BGR,HIT
37,313,CARREFOUR BG 003/15 SOFIA BGR,CARREFOUR
227,315,TEODORA LTD Sofia BGR,TEODORA
81,316,LUKOIL B013 SOFIYA BGR,LUKOIL
80,317,SHELL LIULIN CENTER SOFIA BGR,SHELL
95,318,PLASHTANE NA BANKOMAT SOFIA BGR,PLASHTANE
219,319,DFS N 7 EAST SOFIA BGR,DFS
228,321,SUPERMARKET F16-2 SOFIA BGR,SUPERMARKET
45,322,KAUFLAND SF5 K17 СОФИЯ BGR,KAUFLAND
100,324,TECHNOPOLIS LULIN 3 SOFIA BGR,TECHNOPOLIS
60,325,METRO K&K LTD 1012-7/8 SOFIA BGR,METRO
106,326,SPORT DEPOT BGR,SPORTDEPOT
178,327,CHEERS BGR,CHEERS
44,329,JUMBO-EVROPA 13 SOFIA BGR,JUMBO
37,330,CARREFOUR BG 003/11 SOFIA BGR,CARREFOUR
346,331,NEXT SOFIYA BGR,NEXT
44,332,JUMBO-EVROPA 12 SOFIA BGR,JUMBO
92,334,PICCADILLY CCS SOFIA BGR,PICCADILLY
67,335,GERMANOS-RAKOVSKI SOFIA BGR,GERMANOS
229,338,NIKE OUTLET CENTER SOFIA BGR,NIKE
222,340,DRAKA SOFIA BGR,DRAKA
25,341,BATA-COM OOD SOFIA BGR,BATA-COM
111,342,GLOBUL-INFO + SOFIA BGR,Telenor
164,343,GOOGLE *Commerce Ltd GOOGLE.COM/CH GBR,GOOGLE
230,344,XCOSPORTS BULGARIA SOFIA BGR,XCOSPORTS
213,345,LS TRAVEL RETAIL BULGARIA E SOFIA BGR,LS
57,347,M40 CBA LULIN SOFIA BGR,CBA
187,348,ETIKET GRUP OOD SOFIA BGR,ETIKET
47,349,ORANGE C-R RING MALL SOFIA BGR,ORANGE
36,350,BRICO SOFIA 3 SOFIYA BGR,BRICO
48,351,CINEMA CITY-R SOFIA BGR,CINEMA
8,352,AIKOMULTYCONCEPT SOFIYA BGR,AIKOMULTYCONCEPT
125,353,345 OOD SOFIYA BGR,345
80,354,SHELL LJULIN SOFIA BGR,SHELL
35,355,3DPOS TRENDO.BG PLOVDIV BGR,TRENDO.BG
142,356,VEB 2012 EOOD SAMOKOV BGR,VEB
261,357,RAKETA RAKIA BAR SOFIYA BGR,RAKETA
116,358,PHOTO SYNTHESIS SOFIYA BGR,PHOTOSYNTHESIS
10,359,Amazon EU AMAZON.DE LUX,AMAZON
100,360,TEHNOPOLIS K3 SOFIYA BGR,TECHNOPOLIS
50,361,LIDL Bulgaria EOOD Sofia BGR,LIDL
71,362,HIPPO MEGAMALL LULIN3 SOFIA BGR,HIPPOLAND
259,363,SC* NEOWIN DEALS 4153356768 USA,NEOWIN
63,366,"Doverie Brico AD, Lulin SF BGR",Bricolage
70,367,PAYPAL *TEMPEX LTD 35314369001 LUX,PAYPAL
243,368,WWW.DJI.COM BARENDRECHT NLD,WWW.DJI.COM
46,369,KFC THE MALL SOFIYA BGR,KFC
33,370,EKO SF LULIN 1062 SOFIA BGR,EKO
175,371,CAPELLA PLAY SOFIA BGR,CAPELLA
241,372,PAYPAL *GODADDY.COM 4029357733 USA,GODADDYCOMI
260,373,MBAL SV MARINA PLEVEN BGR,SVMARINA
20,374,Погасяване на общо задължение,Погасяване
126,375,TOPLOFIKACIYA SOFIA MBH O  SOFIA BGR,Топлофикация София
80,376,SHELL SOFIA IZTOK SOFIA BGR,SHELL
277,377,STATIONERY-GIFTS SOFIA BGR,STATIONERY-GIFTS
59,378,DM 025 SF BPS SOFIYA BGR,DM
19,379,ART CLUB MUSEUM SOFIYA BGR,ART-93
303,380,SILGRANS OOD SILISTRA BGR,SILGRANS
80,381,SHELL-TUTRAKAN SILISTRA BGR,SHELL
323,384,VIVA LYULIN SOFIA BGR,VIVA
116,385,PHOTO SYNTESIS SOFIA BGR,PHOTOSYNTHESIS
37,386,CARREFOUR BG 003/16 SOFIA BGR,CARREFOUR
111,387,GLOBUL E-COMMERCE SOFIYA BGR,Telenor
159,388,ESTEE LAUDER BULGARIA EOOD SOFIA BGR,ESTEE
49,390,DEICHMANN 006 SOFIYA BGR,DEICHMANN
49,391,DEICHMANN 014 SOFIYA BGR,DEICHMANN
332,392,MLADOST SOFIYA BGR,MLADOST
33,393,EKO MLADOST 1901 SOFIA BGR,EKO
274,394,WWW.BGKOLEDA.BG 0035929444999 BGR,WWW.BGKOLEDA.BG
78,396,LABIRINT BGR,LABIRINT
81,397,LUKOIL F526 SOFIYA BGR,LUKOIL
30,404,BILLA LULIN SOFIYA BGR,BILLA
83,405,OMV BULGARIA OOD SOFIA BGR,OMV
190,407,FOOT COMFORT BGR,FOOT
37,409,CARREFOUR BG 003/31 SOFIA BGR,CARREFOUR
92,410,PICCADILLY SOFIA MOL SOFIA BGR,PICCADILLY
93,412,PRAKTIKER 604 CASH6 SOFIA BGR,PRAKTIKER
334,413,LULIN 4 SOFIYA BGR,LULIN4
67,416,GERMANOS MALL SF SOFIA BGR,GERMANOS
127,417,GOLF ZONA BG AD SOFIA BGR,GOLF
37,418,CARREFOUR 302/01 SOFIYA BGR,CARREFOUR
137,420,DUNKIN DONUTS - STAND SOFIA BGR,DUNKIN
30,426,BILLA 103 LYULIN SOFIYA BGR,BILLA
37,429,CARREFOUR 109-12 SOFIYA BGR,CARREFOUR
240,430,MICROSOFT *STORE BILL.MS.NET IRL,MICROSOFT
105,434,SECRET BK OOD SOFIA BGR,SECRET
217,435,CONFETTI SOFIYA BGR,CONFETTI
1,439,CEZ MY FIBANK BGR,ЧЕЗ
283,440,SBX THE MALL SOFIYA BGR,SBX
43,442,IKEA SOFIA 12 SOFIYA BGR,IKEA
42,443,HAPPY BAR & GRILL SOFIA BGR,HAPPY
13,444,APTEKA B.PARK SOFIYA BGR,APTEKA
351,445,MOTO PFOHE LULIN SOFIA BGR,MOTO
94,447,PLAYGROUND SOFIA BGR,PLAYGROUND
70,448,PAYPAL *CDISCOUNTSA 35314369001 FRA,PAYPAL
65,449,SOFIA TC-EUROPE SOFIYA BGR,TC-EUROPE
